theta_0,n,j,d,true_var,asymp_var,boot_var,true_se,asymp_se,boot_se,bias,asymp_ci_coverage,boot_nci_coverage,boot_qci_coverage,nsim,asymp_se_ratio,boot_se_ratio
ate_bal,500,1,ks,0.010520656087476326,0.010243225027386955,0.010326903958069567,0.10257024952429591,0.10091140068466072,0.10162137549782313,-0.004782638527309389,0.9509283819628647,0.9535809018567639,0.9389920424403183,754,0.9838271930961593,0.9907490326788371
ate_bal,500,1,ld,0.013973724777229626,0.013864926362952449,0.01379697944992713,0.11821051043468861,0.11715228918191684,0.11746054422625127,-0.008056554871156365,0.9490616621983914,0.9571045576407506,0.9302949061662198,746,0.9910479935423641,0.9936556723621315
ate_bal,500,2,ks,0.010500792739858236,0.010329031963231093,0.010424237894177017,0.10247337576101528,0.10136120202897869,0.10209915716682982,-0.004953923684226334,0.9479606188466948,0.9535864978902954,0.9381153305203939,711,0.989146705436636,0.99634813831977
ate_bal,500,2,ld,0.014812776229041645,0.013975965448471113,0.013945052603715822,0.1217077492563298,0.1175945606291157,0.1180891722543427,-0.011551779045447328,0.946685878962536,0.9538904899135446,0.9380403458213257,694,0.9662043817887778,0.9702683105710387
ate_dr,500,1,ks,0.011700460850250942,0.011819077178302167,0.011598089191999771,0.1081686685239813,0.10775614481963097,0.10769442507390886,-0.007654530611180132,0.9482758620689655,0.9482758620689655,0.9363395225464191,754,0.9961862921123147,0.9956157040985737
ate_dr,500,1,ld,0.01676883703963473,0.019828514647040163,0.017831656370772782,0.12949454443965866,0.13533894116853395,0.1335352252058339,-0.013358443754248477,0.9517426273458445,0.9691689008042895,0.9463806970509383,746,1.045132378002215,1.031203482615116
ate_dr,500,2,ks,1.9768649019061304,3.1795593281676404,2.1695170755969397,1.4060102780229349,1.4033157969713685,1.472928061921878,-0.21065345762749996,0.9662447257383966,0.9549929676511955,0.9240506329113924,711,0.9980835978984768,1.0475940929770726
ate_dr,500,2,ld,0.029627065632376076,0.04550327939846805,0.035490299221451825,0.1721251452646477,0.1908498224783214,0.18838869186193694,-0.030518551289787612,0.9452449567723343,0.9697406340057637,0.9149855907780979,694,1.1087852514801597,1.094486755972136
ate_ipw_2,500,1,ks,2.121814120993413,4.419556220220953,2.9653268750136292,1.4566448163479706,1.8495004886044113,1.722012449145949,-0.3056022325273985,0.9509283819628647,0.9694960212201591,0.8938992042440318,754,1.2696990150566625,1.1821773089910108
ate_ipw_2,500,1,ld,0.18977919919487182,0.3353826468315357,0.22836961719110263,0.43563654483396114,0.5053819147228134,0.4778803377322639,-0.12416360852405973,0.8954423592493298,0.9571045576407506,0.8364611260053619,746,1.160099906024723,1.0969702689070855
ate_ipw_2,500,2,ks,2.5893132492311537,4.52047208048691,3.252090679065997,1.609134316715405,1.8737999558249636,1.8033553945537184,-0.39326723188861556,0.9226441631504922,0.9718706047819972,0.8945147679324894,711,1.1644770336200392,1.1206991087199987
ate_ipw_2,500,2,ld,0.19810702747540238,0.3514320950569771,0.23317467851495055,0.4450921561602747,0.5138457394845589,0.48288164027528585,-0.1405229326336038,0.8688760806916427,0.9567723342939481,0.8342939481268011,694,1.1544704447667833,1.08490260632992
ate_regr,500,1,ks,0.010173853272581069,0.01000818752758598,0.010106504904003746,0.10086552073221587,0.0997985335251638,0.10053111410903465,-0.004316179498730366,0.9482758620689655,0.9549071618037135,0.9416445623342176,754,0.989421685435157,0.9966846289916153
ate_regr,500,1,ld,0.0122167625953905,0.012498598675732333,0.012589851085085082,0.1105294648290242,0.11147481647491056,0.11220450563629378,-0.005741935891942202,0.9463806970509383,0.9557640750670241,0.9450402144772118,746,1.008552937873613,1.0151546993361513
ate_regr,500,2,ks,2.7798252896334033,2.6751288624874956,2.7033440229131744,1.6672808070728227,1.6224457088055648,1.6441849114114795,-6.341504767636483,0.01828410689170183,0.035161744022503515,0.011251758087201125,711,0.9731088500047134,0.986147567006489
