sim,ate,type,true_ate,run,j,n,d
1,1.8323364220526799,old,2,1,2,500,ld
1,1.8319948632723073,boot,2,1,2,500,ld
1,1.8337671165072473,all_boot,2,1,2,500,ld
1,1.8539498876268474,null,2,1,2,500,ld
1,1.853949887626851,gn,2,1,2,500,ld
1,1.8539498876268479,hybrid_gn,2,1,2,500,ld
1,1.7738642931648099,none,2,1,2,500,ld
1,1.7738668528174828,shrunk,2,1,2,500,ld
2,2.081923519053876,old,2,2,2,500,ld
2,2.075231035421253,boot,2,2,2,500,ld
2,2.081888883048523,all_boot,2,2,2,500,ld
2,2.0551509591883668,null,2,2,2,500,ld
2,2.1834108198278694,gn,2,2,2,500,ld
2,2.0619307956237054,hybrid_gn,2,2,2,500,ld
2,1.7697998195473403,none,2,2,2,500,ld
2,1.7698166720642539,shrunk,2,2,2,500,ld
3,1.7375137102110785,old,2,3,2,500,ld
3,1.7339602866159667,boot,2,3,2,500,ld
3,1.7380660304565907,all_boot,2,3,2,500,ld
3,1.7524202053448246,null,2,3,2,500,ld
3,1.7524202053448228,gn,2,3,2,500,ld
3,1.7524202053448235,hybrid_gn,2,3,2,500,ld
3,1.6440014391933855,none,2,3,2,500,ld
3,1.644004159680141,shrunk,2,3,2,500,ld
4,2.0676523656107397,old,2,4,2,500,ld
4,2.066261316589248,boot,2,4,2,500,ld
4,2.0694785344534745,all_boot,2,4,2,500,ld
4,1.7351072048526053,null,2,4,2,500,ld
4,2.100765660186296,gn,2,4,2,500,ld
4,1.741820917486357,hybrid_gn,2,4,2,500,ld
4,1.8547910269053987,none,2,4,2,500,ld
4,1.8548059791013827,shrunk,2,4,2,500,ld
5,1.9675630382570635,old,2,5,2,500,ld
5,1.9531269205067476,boot,2,5,2,500,ld
5,1.9703821180408922,all_boot,2,5,2,500,ld
5,1.9378792617070413,null,2,5,2,500,ld
5,2.007212124673009,gn,2,5,2,500,ld
5,1.9379992047629826,hybrid_gn,2,5,2,500,ld
5,1.6220336541272247,none,2,5,2,500,ld
5,1.6220514504997186,shrunk,2,5,2,500,ld
6,1.9534412178593397,old,2,6,2,500,ld
6,1.9553736670248036,boot,2,6,2,500,ld
6,1.9540971190219432,all_boot,2,6,2,500,ld
6,1.7784093940170025,null,2,6,2,500,ld
6,2.071827590022913,gn,2,6,2,500,ld
6,1.7830942379739514,hybrid_gn,2,6,2,500,ld
6,1.661311432109016,none,2,6,2,500,ld
6,1.661319338235157,shrunk,2,6,2,500,ld
7,1.7935380021130929,old,2,7,2,500,ld
7,1.789494443738467,boot,2,7,2,500,ld
7,1.7957075916228669,all_boot,2,7,2,500,ld
7,1.8163555340744977,null,2,7,2,500,ld
7,1.8163555340744968,gn,2,7,2,500,ld
7,1.8163555340744977,hybrid_gn,2,7,2,500,ld
7,1.6989620480268726,none,2,7,2,500,ld
7,1.698964434068651,shrunk,2,7,2,500,ld
8,2.076137060521662,old,2,8,2,500,ld
8,2.0809391400362443,boot,2,8,2,500,ld
8,2.0768589297184183,all_boot,2,8,2,500,ld
8,2.067699456554378,null,2,8,2,500,ld
8,2.10145719629848,gn,2,8,2,500,ld
8,2.070080501479341,hybrid_gn,2,8,2,500,ld
8,1.876762466016578,none,2,8,2,500,ld
8,1.8767695429154034,shrunk,2,8,2,500,ld
9,1.5918704839992448,old,2,9,2,500,ld
9,1.5909905707648129,boot,2,9,2,500,ld
9,1.592313775968902,all_boot,2,9,2,500,ld
9,1.611534786529102,null,2,9,2,500,ld
9,1.6115347865290992,gn,2,9,2,500,ld
9,1.6115347865291016,hybrid_gn,2,9,2,500,ld
9,1.547825883168003,none,2,9,2,500,ld
9,1.5478274940759436,shrunk,2,9,2,500,ld
10,1.634458529046042,old,2,10,2,500,ld
10,1.631531614488702,boot,2,10,2,500,ld
10,1.6453267596704908,all_boot,2,10,2,500,ld
10,1.629257275870366,null,2,10,2,500,ld
10,1.739074667228516,gn,2,10,2,500,ld
10,1.6252350721051938,hybrid_gn,2,10,2,500,ld
10,1.2484491162691551,none,2,10,2,500,ld
10,1.2484566520474691,shrunk,2,10,2,500,ld
11,1.7883662034034902,old,2,11,2,500,ld
11,1.7792895159734547,boot,2,11,2,500,ld
11,1.788316001304189,all_boot,2,11,2,500,ld
11,1.777827373867468,null,2,11,2,500,ld
11,1.8978108336095585,gn,2,11,2,500,ld
11,1.7760537793422297,hybrid_gn,2,11,2,500,ld
11,1.7311029628078836,none,2,11,2,500,ld
11,1.7311046354659432,shrunk,2,11,2,500,ld
12,1.7581476215924012,old,2,12,2,500,ld
12,1.7678288163235913,boot,2,12,2,500,ld
12,1.7585270729660514,all_boot,2,12,2,500,ld
12,1.6683695552852762,null,2,12,2,500,ld
12,1.7837785974926492,gn,2,12,2,500,ld
12,1.6675560648903913,hybrid_gn,2,12,2,500,ld
12,1.5617270873441964,none,2,12,2,500,ld
12,1.5617381829622916,shrunk,2,12,2,500,ld
13,1.7458938278087233,old,2,13,2,500,ld
13,1.739332570532871,boot,2,13,2,500,ld
13,1.7482275471774378,all_boot,2,13,2,500,ld
13,1.710389181019509,null,2,13,2,500,ld
13,1.9669216606514555,gn,2,13,2,500,ld
