sim,ate,type,run,j,n,d
1,37.4671793555708,old,1,1,50,ks
1,37.416000666882994,boot,1,1,50,ks
1,37.511087875342646,all_boot,1,1,50,ks
1,35.80306165474979,null,1,1,50,ks
1,36.23239847083987,gn,1,1,50,ks
1,35.80306165474979,hybrid_gn,1,1,50,ks
2,39.240725012259745,old,2,1,50,ks
2,39.21116280236804,boot,2,1,50,ks
2,39.28241640222092,all_boot,2,1,50,ks
2,32.7208372495803,null,2,1,50,ks
2,35.28167948051909,gn,2,1,50,ks
2,32.7208372495803,hybrid_gn,2,1,50,ks
3,37.14262705935227,old,3,1,50,ks
3,37.08620110475607,boot,3,1,50,ks
3,37.07601696373318,all_boot,3,1,50,ks
3,40.88871545486674,null,3,1,50,ks
3,36.95099444136275,gn,3,1,50,ks
3,40.88871545486674,hybrid_gn,3,1,50,ks
4,39.365381519951455,old,4,1,50,ks
4,39.11228017422518,boot,4,1,50,ks
4,39.36629945532976,all_boot,4,1,50,ks
4,34.889460776216076,null,4,1,50,ks
4,36.99301669822536,gn,4,1,50,ks
4,34.889460776216076,hybrid_gn,4,1,50,ks
5,39.33211490066936,old,5,1,50,ks
5,38.944195432680495,boot,5,1,50,ks
5,39.26866465043559,all_boot,5,1,50,ks
5,29.26793281593444,null,5,1,50,ks
5,31.621868973494934,gn,5,1,50,ks
5,29.26793281593444,hybrid_gn,5,1,50,ks
6,38.010073222231604,old,6,1,50,ks
6,38.02048251154206,boot,6,1,50,ks
6,38.15188114170955,all_boot,6,1,50,ks
6,22.32808974113394,null,6,1,50,ks
6,33.080551331340125,gn,6,1,50,ks
6,22.32808974113394,hybrid_gn,6,1,50,ks
7,38.26892522201653,old,7,1,50,ks
7,38.40583953236722,boot,7,1,50,ks
7,38.7411634823867,all_boot,7,1,50,ks
7,30.202781056107334,null,7,1,50,ks
7,30.749113969409684,gn,7,1,50,ks
7,30.202781056107334,hybrid_gn,7,1,50,ks
8,36.70096523556513,old,8,1,50,ks
8,36.43521252105949,boot,8,1,50,ks
8,36.72934643446268,all_boot,8,1,50,ks
8,29.769005374377496,null,8,1,50,ks
8,30.640749882484183,gn,8,1,50,ks
8,29.769005374377496,hybrid_gn,8,1,50,ks
9,39.752593050574674,old,9,1,50,ks
9,39.68117987549165,boot,9,1,50,ks
9,39.696917075542096,all_boot,9,1,50,ks
9,29.897319911411955,null,9,1,50,ks
9,32.30338998412921,gn,9,1,50,ks
9,29.897319911411955,hybrid_gn,9,1,50,ks
10,37.60689492703719,old,10,1,50,ks
10,37.58531430126657,boot,10,1,50,ks
10,37.77989613613833,all_boot,10,1,50,ks
10,34.567728621936126,null,10,1,50,ks
10,34.34377168720469,gn,10,1,50,ks
10,34.567728621936126,hybrid_gn,10,1,50,ks
11,38.91261326639154,old,11,1,50,ks
11,38.9103252583918,boot,11,1,50,ks
11,38.90695026299998,all_boot,11,1,50,ks
11,38.72363323853869,null,11,1,50,ks
11,39.28768773993626,gn,11,1,50,ks
11,38.72363323853869,hybrid_gn,11,1,50,ks
12,45.947861474717854,old,12,1,50,ks
12,46.085925706640964,boot,12,1,50,ks
12,45.992631743551314,all_boot,12,1,50,ks
12,44.95193659190686,null,12,1,50,ks
12,47.63325146967282,gn,12,1,50,ks
12,44.95193659190686,hybrid_gn,12,1,50,ks
